Date,Close,High,Low,Open,Volume,ATR
2018-01-02,40.2670783996582,40.27643070005527,39.565805677893536,39.776189634537445,102223600,0.0
2018-01-03,40.260066986083984,40.80238628352514,40.19695500765061,40.33019497342311,118071600,0.0
2018-01-04,40.44706726074219,40.5499211500562,40.224998308918046,40.33252478094121,89738400,0.0
2018-01-05,40.90756607055664,40.994055211711675,40.451739619141776,40.54290490942475,94640000,0.0
2018-01-08,40.755638122558594,41.050171408244445,40.65745679380547,40.755638122558594,82271200,0.0
2018-01-09,40.75094985961914,40.921591854561065,40.53589336412295,40.802376800591794,86336000,0.0
2018-01-10,40.741600036621094,40.74393989480724,40.440054379738385,40.477456442146824,95839600,0.0
2018-01-11,40.9730224609375,41.02211311511454,40.7883555686387,40.81172918317203,74670800,0.0
2018-01-12,41.39612579345703,41.45924133390934,41.05951433352114,41.18340555601736,101672400,0.0
2018-01-16,41.18574523925781,41.933768721013166,41.17405664783749,41.585468671088606,118263600,0.0
2018-01-17,41.86598205566406,41.90104426428869,40.923939337469655,41.176394373281866,137547200,0.0
2018-01-18,41.90338134765625,42.09974042023661,41.6672874824555,41.929094823419305,124773600,0.0
2018-01-19,41.71636962890625,41.97817691644085,41.47092351341417,41.75143183103793,129700400,0.0
2018-01-22,41.37508010864258,41.557410684789765,41.281578529489984,41.44520807643533,108434400,0.5110944333275579
2018-01-23,41.384429931640625,41.94545012192714,41.33300655854965,41.44520916986427,130756400,0.504081471985826
2018-01-24,40.72523498535156,41.44520856729474,40.48680131877495,41.43351997804808,204420400,0.5292940414604875
2018-01-25,39.998252868652344,40.89588096747637,39.86267306723772,40.79302707903376,166116000,0.5798858313962373
2018-01-26,40.09175491333008,40.206297393461384,39.75280718937289,40.206297393461384,156572000,0.5732074209047379
2018-01-29,39.26191711425781,39.77618297744424,39.05387305096097,39.77618297744424,202561600,0.6192907957568902
2018-01-30,39.030494689941406,39.12399627428952,38.499864103281,38.6938832793173,184192800,0.6461732615096543
2018-01-31,39.13801956176758,39.37411693794769,38.92062678192371,39.00711592226718,129915600,0.6563585955198847
2018-02-01,39.2198486328125,39.416204154709504,38.9814148894474,39.077256358536815,188923200,0.6673783231462173
2018-02-02,37.51808547973633,38.99075870726561,37.424583889707215,38.80375196035035,346375200,0.7608815995843204
2018-02-05,36.580726623535156,38.30819507475602,36.46618412011472,37.19083407744985,290954000,0.8381886625461509
2018-02-06,38.109493255615234,38.27078653650845,35.99866285535439,36.19268205071455,272975200,0.9306900021415098
2018-02-07,37.293678283691406,38.19598257725575,37.183815515739305,38.123518306819236,206434400,0.9720981538368909
2018-02-08,36.267478942871094,37.63496190465887,36.2394291809823,37.46899249081761,217562000,1.0355466767404546
2018-02-09,36.71108627319336,37.0584569628266,35.262922282513344,36.86599613070262,282690400,1.1327426468045252
2018-02-12,38.18976593017578,38.46672273816519,36.96926786105699,37.20163266035302,243278000,1.2143992826326924
2018-02-13,38.57233428955078,38.66856648297439,37.9409622819946,38.011376169411854,130196800,1.1979133506655495
2018-02-14,39.283512115478516,39.32341248785229,38.22966380983118,38.26721478410091,162579600,1.202237691935725
2018-02-15,40.60258865356445,40.626057565112156,39.6660920548011,39.85151185604618,204588800,1.2657416380460924
2018-02-16,40.47114944458008,41.03211125006785,40.31624316123592,40.454721563931344,160704400,1.2427406542220087
2018-02-20,40.33501434326172,40.90066411551989,40.23408693219044,40.38195574267661,135722000,1.2359209522471966
2018-02-21,40.15194320678711,40.86780765643654,40.13785756271119,40.56503256469426,149886400,1.255668090654437
2018-02-22,40.48759078979492,40.82792054682032,40.3021709353275,40.323294036203414,123967600,1.272895810280945
2018-02-23,41.19171142578125,41.226916584183606,40.73167706139258,40.76219058627438,135249600,1.1974715996583305
2018-02-26,42.006160736083984,42.10473876856565,41.358360702033096,41.39122004619365,152648800,1.1311156273828378
2018-02-27,41.870018005371094,42.360562232054455,41.81603557762197,42.036664084160634,155712400,1.007715839759868
2018-02-28,41.80665969848633,42.39343632161307,41.79023181536693,42.07422969537611,151128400,0.9785042286691323
2018-03-01,41.0743522644043,42.19626857117151,40.52513035651895,41.90522615725141,195208000,0.9981903351674168
2018-03-02,41.35836410522461,41.37948720362311,40.475849792751795,40.557999950612896,153816000,0.9344833873501354
2018-03-05,41.50154113769531,41.71747451781942,40.96170589668479,41.123656827127995,113605600,0.8630642556474781
2018-03-06,41.46633529663086,41.83717859982234,41.33959310558097,41.757377828368675,95154000,0.8466343480233053
2018-03-07,41.08138656616211,41.27385093288928,40.90300784056516,41.06026347656485,126814000,0.8087471178836333
2018-03-08,41.529701232910156,41.57194742905669,41.090793481964944,41.187022122543205,95096400,0.7478910759737006
2018-03-09,42.24321365356445,42.24790886845284,41.635314046604286,41.7691008104262,128740800,0.74805818645304
2018-03-12,42.6516227722168,42.80887848962803,42.297210953699,42.315984655461044,128828400,0.7408501616483351
2018-03-13,42.24086380004883,43.06939186938944,42.06952607769264,42.855804379874634,126774000,0.7601298543605814
2018-03-14,41.88175964355469,42.36995811673612,41.73389082089603,42.32301671345703,117473600,0.7572791369182157
2018-03-15,41.93103790283203,42.304230395438275,41.79490893683333,41.89583275324594,90975200,0.7408502557908057
2018-03-16,41.783180236816406,42.04135973699052,41.689293851971776,41.931045473172695,157618800,0.7007815802361159
2018-03-19,41.14475631713867,41.65407773365645,40.75983119407739,41.6188725869795,133787200,0.7349831794008678
2018-03-20,41.13069152832031,41.49683953309172,41.06027762400275,41.13069152832031,78597600,0.7230801367467841
2018-03-21,40.198883056640625,41.09547563260166,40.19653365868567,41.08373938702482,148219600,0.6704386835312189
2018-03-22,39.63089370727539,40.52983232296425,39.572216046223105,39.90080951555583,165963200,0.6742943168076359
2018-03-23,38.713165283203125,39.88202301847782,38.713165283203125,39.522916102330775,164115200,0.7038006821033547
2018-03-26,40.55095672607422,40.628411664082556,39.06523800187792,39.44781747650699,150164800,0.8050621740060733
2018-03-27,39.51118850708008,41.10956740172063,39.177899826116274,40.76454247240878,163690400,0.9028007539731203
2018-03-28,39.074623107910156,39.90550071027378,38.77184798320467,39.25535128853273,166674000,0.9487358871284434
2018-03-29,39.37974548339844,40.31154688271614,39.173199002522075,39.386786515119255,153594000,0.9857870399329646
2018-04-02,39.12156295776367,39.65201123119887,38.60285451256873,39.11217610913106,150347200,1.0203221744020046
2018-04-03,39.522918701171875,39.60741466237426,38.69908576549835,39.34688574711688,121112000,1.013783824771941
2018-04-04,40.278690338134766,40.372573155198666,38.673270529102645,38.69908884100521,138422000,1.0897292055045074
2018-04-05,40.5579948425293,40.89362930170126,40.38900291382461,40.50635822090288,107732800,1.097273313001761
2018-04-06,39.52058792114258,40.48289962060871,39.47833813376646,40.128487760902544,140021200,1.149244086126339
2018-04-09,39.91254425048828,40.62606300601005,39.8656028397066,39.872643872253846,116070800,1.1551102319926574
2018-04-10,40.66362380981445,40.83965681332014,40.259921168596016,40.60494614197922,113634400,1.1901495644028637
2018-04-11,40.47350311279297,40.82087385529702,40.29981595084088,40.42421230284707,89726400,1.1606424240329705
2018-04-12,40.87249755859375,41.07434878731882,40.61431450508529,40.70115984930123,91557200,1.1351588095890206
2018-04-13,41.010990142822266,41.27151910294791,40.80444720984534,41.02272639139374,100497200,1.0850312494338692
2018-04-16,41.26682662963867,41.35366842078155,41.03446180568861,41.081403217619894,86313600,0.9727049563681446
2018-04-17,41.8348274230957,41.9991241613357,41.40530650508239,41.42408378679558,106421600,0.887035667517621
2018-04-18,41.740928649902344,41.9709475967017,41.515608498889755,41.733887619020656,83018000,0.8385846939992524
2018-04-19,40.5579948425293,41.16589447365878,40.525135499803376,40.78331502653571,139235200,0.8370753636630371
2018-04-20,38.896244049072266,40.1871524529709,38.82817596401007,40.04163301530664,261964400,0.8856940893694006
2018-04-23,38.78357696533203,39.17788901493464,38.51365765341196,39.156765922577186,146062000,0.8682585511298845
2018-04-24,38.24375534057617,39.03942433112402,37.840052720688725,38.88451443668804,134768000,0.8325491928684039
2018-04-25,38.41039276123047,38.825831574734394,38.11935387520056,38.16864110139597,113528400,0.8390876740089281
2018-04-26,38.54417037963867,38.898582053680634,38.34466496108976,38.52069788990382,111852000,0.801534844282359
2018-04-27,38.098228454589844,38.56999549782901,37.70156694524858,38.49254056570322,142623200,0.7846029491189991
2018-04-30,38.78827667236328,39.257697923260864,37.98556676309641,38.05363485006051,169709600,0.809247134642756
2018-05-01,39.6895637512207,39.71303266229741,38.790621726653995,39.05819166644517,214277600,0.8380827121768978
2018-05-02,41.44285583496094,41.719812647104675,40.792706415671205,41.12834088273352,266157600,0.9401829422739064
2018-05-03,41.5179557800293,41.661129382006536,40.94291555554344,41.28089937538475,136272800,0.958121651799658
2018-05-04,43.1468505859375,43.245428609444815,41.81838771321594,41.8371649912268,224805200,1.057035548332246
2018-05-07,43.45901870727539,44.04814106669595,43.36278649476054,43.463710341007975,169805600,1.0691064732652045
2018-05-08,43.667911529541016,43.70781190513855,43.109299108375836,43.41911884558,113611200,1.0793331660474021
2018-05-09,43.97538375854492,43.98477060792433,43.47310315384662,43.78526872136192,92844800,1.0290384734744553
2018-05-10,44.60441589355469,44.681870847448714,44.04345751359562,44.06458419658544,111957200,0.9559433456447815
2018-05-11,44.43476867675781,44.781124079827364,44.1661668942968,44.646824986202176,104848800,0.9524237616453445
2018-05-14,44.33108139038086,44.65623212523947,44.26275443642257,44.53371098533184,83115200,0.8948599101011736
2018-05-15,43.92818832397461,44.076627354090526,43.612464172969005,44.008296792998124,94780800,0.8957270185210321
2018-05-16,44.338165283203125,44.40414099361598,43.82452472981287,43.84101955621875,76732400,0.8975626736076207
2018-05-17,44.057769775390625,44.510151372329275,43.90933077186677,44.29574027728579,69176000,0.8784478198849115
2018-05-18,43.897544860839844,44.250968284993725,43.85513577564169,44.104887753477,73190800,0.8158550591125956
2018-05-21,44.20856857299805,44.59497812152537,44.038925005819245,44.29574521897252,73603200,0.7996177213091242
2018-05-22,44.09784698486328,44.50310638409517,44.00831184462029,44.38529850281174,60962800,0.6899424101370464
2018-05-23,44.38056564331055,44.41355169174006,43.76796349223717,43.90697946331335,80233600,0.6847548653541747
2018-05-24,44.33108139038086,44.493656757810164,43.873990067081564,44.47716553245859,92936000,0.6056258554479663
2018-05-25,44.43240737915039,44.6845142986647,44.21328291731223,44.34994044932966,69844000,0.5749073483475396
2018-05-29,44.27219009399414,44.47246488387322,44.02950620237712,44.20150825776424,90056400,0.5637963401142103
2018-05-30,44.17794418334961,44.295752034505206,44.00830059006872,44.229779925474894,74762000,0.5477809108541228
2018-05-31,44.02949905395508,44.349936508610654,43.857500621703196,44.111965976448204,109931200,0.5324915392829561
2018-06-01,44.823524475097656,44.82823419974906,44.2368401871287,44.293389239832464,93770000,0.545618536444629
2018-06-04,45.198143005371094,45.57277096331319,45.085048518960235,45.15337546413105,105064800,0.5710305935445312
2018-06-05,45.546875,45.6953140564857,45.323040781395484,45.49032952721355,86264000,0.555213010237585
2018-06-06,45.70473098754883,45.72829399486384,45.219363236624766,45.622267652366574,83734400,0.5501640455544395
2018-06-07,45.582218170166016,45.756571499725034,45.31832612251338,45.74243513194571,85388800,0.5385515296079498
2018-06-08,45.16752624511719,45.23821166989341,44.71278969726127,45.04265021927023,106627200,0.5723798127188578
2018-06-11,45.05678176879883,45.23113865191412,44.816456383543546,45.08505809281272,73234000,0.5521833132677898
2018-06-12,45.3041877746582,45.38194138925669,45.03794087574918,45.09448993960545,67644400,0.5414123114129775
2018-06-13,44.931907653808594,45.445551685104874,44.87064887374254,45.33716689476205,86553600,0.5363633551172237
2018-06-14,44.955467224121094,45.13689228323737,44.81880971422139,45.13217896352785,86440400,0.5148216321377512
2018-06-15,44.49366760253906,44.80468204998491,44.35701006610469,44.77405085873973,246876800,0.5239091876137459
2018-06-18,44.47010040283203,44.583194911549555,44.107250277682624,44.267470793974596,73939600,0.5262653270688052
2018-06-19,43.751487731933594,43.902281663090356,43.223707175279465,43.62189835471819,134314000,0.5947611687199539
2018-06-20,43.94232940673828,44.10725968278852,43.76090430547783,43.90698848873122,82514800,0.5849994590019162
2018-06-21,43.697288513183594,44.37821773005367,43.57476734474176,44.11903902665944,102847600,0.5853362618246253
2018-06-22,43.57006072998047,43.85986707368123,43.51822498132365,43.852798889338096,108801600,0.556221662120486
2018-06-25,42.922122955322266,43.5700663011726,42.582835682625024,43.21192933607982,126652400,0.5912259169371268
2018-06-26,43.4546012878418,43.94939568980616,43.00928776415795,43.115317704014764,98276800,0.6282503438117567
2018-06-27,43.39098358154297,44.12610333725696,43.36035239331826,43.643090484345954,101141200,0.6516435985779745
2018-06-28,43.70671081542969,43.87399953844859,43.30616485853516,43.37685028509541,69460800,0.6301011847928802
2018-06-29,43.61481475830078,44.104895760187524,43.096461027816034,43.89283951007356,90950800,0.6725120750786598
2018-07-02,44.102542877197266,44.13081920457902,43.216629182120954,43.31087761470998,70925200,0.7132398971465567
2018-07-03,43.334434509277344,44.283965391794474,43.244899402321124,44.24626602094871,55819200,0.746394409868772
2018-07-05,43.683135986328125,43.92111007150501,43.41924763347607,43.65014994222162,66416800,0.7655796236696065
